experiment,count,mean,std,min,25%,50%,75%,90%,95%,99%,max,variance
test_10_10,50.0,22.44,14.08307712201029,16.0,17.0,18.0,21.0,33.0,38.0,74.69999999999986,109.0,198.33306122448954
test_10_12,50.0,29.8,18.00113375114275,23.0,23.0,24.0,26.0,43.400000000000006,54.0,102.20999999999987,137.0,324.04081632653055
test_10_14,50.0,41.06,23.316290179938623,31.0,32.25,35.0,39.0,52.000000000000014,65.94999999999997,131.66999999999976,189.0,543.6493877551022
test_10_16,50.0,49.3,32.78579209452329,40.0,41.0,42.0,44.0,47.1,67.59999999999991,188.0299999999997,263.0,1074.9081632653051
test_10_18,50.0,62.42,40.669945780587405,50.0,52.0,54.0,56.0,65.9,84.29999999999998,227.64999999999958,333.0,1654.044489795918
test_10_2,50.0,3.06,3.986763814710588,1.0,2.0,2.0,3.0,5.200000000000003,7.0,19.64999999999997,27.0,15.89428571428572
test_10_20,50.0,76.12,49.97086498089437,63.0,64.0,67.0,69.0,74.40000000000002,98.39999999999998,267.0399999999994,416.0,2497.087346938776
test_10_4,50.0,6.96,4.882120649965172,4.0,4.0,7.0,7.0,8.100000000000001,10.099999999999994,25.74999999999995,38.0,23.835102040816324
test_10_6,50.0,10.9,8.779033464535184,6.0,7.0,8.0,12.0,14.200000000000003,18.0,44.43999999999991,66.0,77.07142857142856
test_10_8,50.0,15.58,11.897675986408052,10.0,11.0,11.0,17.75,22.1,25.099999999999994,59.14999999999987,91.0,141.55469387755096
test_15_10,50.0,47.78,24.312833597732297,37.0,39.0,41.0,45.0,56.2,84.64999999999999,145.0199999999998,195.0,591.1138775510202
test_15_12,50.0,62.18,27.876323067347013,51.0,52.0,54.0,59.25,68.50000000000003,105.49999999999991,176.0199999999998,226.0,777.0893877551018
test_15_14,50.0,87.0,38.86607040300613,73.0,75.25,77.5,82.0,94.30000000000001,103.49999999999997,256.1099999999997,335.0,1510.571428571428
test_15_16,50.0,111.1,49.66962279473671,96.0,99.25,101.0,104.75,111.30000000000001,131.64999999999998,309.77999999999946,446.0,2467.071428571428
test_15_18,50.0,144.0,55.44513743608291,124.0,129.0,131.0,137.75,152.1,187.99999999999994,361.07999999999936,512.0,3074.163265306122
test_15_2,50.0,5.1,3.7211475078946012,2.0,4.0,5.0,5.0,6.0,8.0,19.19999999999996,29.0,13.846938775510207
test_15_20,50.0,179.24,63.14917873979205,158.0,162.0,164.0,169.75,182.70000000000002,241.3499999999999,434.6499999999994,589.0,3987.818775510202
test_15_4,50.0,11.12,6.693402173264448,6.0,7.0,9.0,13.0,15.0,16.099999999999994,36.29999999999994,51.0,44.801632653061226
test_15_6,50.0,18.04,12.096482875579326,12.0,13.0,13.5,16.0,28.1,30.64999999999999,65.4799999999999,89.0,146.32489795918363
test_15_8,50.0,29.46,15.723646562565879,22.0,23.0,24.0,27.0,46.400000000000006,55.29999999999998,89.55999999999989,117.0,247.23306122448966
test_20_10,50.0,76.64,29.666004731589556,63.0,66.0,68.5,74.0,84.10000000000002,104.79999999999995,208.32999999999984,249.0,880.0718367346942
test_20_12,50.0,109.9,39.97767233987351,95.0,98.0,100.5,104.75,116.40000000000002,140.34999999999997,277.7999999999996,366.0,1598.214285714286
test_20_14,50.0,158.02,53.806717583800435,138.0,141.0,143.5,151.5,176.9,207.24999999999994,365.93999999999943,510.0,2895.1628571428587
test_20_16,50.0,232.74,52.85706949801859,214.0,217.25,219.5,226.5,239.30000000000004,278.29999999999995,443.24999999999943,578.0,2793.8697959183683
test_20_18,50.0,278.24,61.50346265347462,261.0,263.25,265.0,267.0,280.0,313.4499999999998,528.7099999999994,686.0,3782.6759183673485
test_20_2,50.0,6.36,4.702409282615082,3.0,3.25,6.0,7.0,8.100000000000001,12.549999999999997,24.19999999999996,34.0,22.11265306122449
test_20_20,50.0,418.32,76.81741936805318,392.0,400.25,403.5,407.0,417.2,440.1,733.0999999999992,934.0,5900.915918367353
test_20_4,50.0,15.44,8.781148639476015,10.0,11.0,12.0,19.0,22.0,23.0,46.43999999999991,68.0,77.10857142857147
test_20_6,50.0,29.68,15.926412409733024,22.0,23.0,24.0,27.0,49.0,53.29999999999998,92.0099999999999,117.0,253.65061224489799
test_20_8,50.0,53.38,22.3121546449006,41.0,44.0,46.0,51.0,67.4,91.44999999999995,141.75999999999985,179.0,497.83224489795896
test_25_10,50.0,122.86,38.938994672724256,107.0,111.0,113.0,117.75,138.9,154.64999999999998,281.8599999999996,373.0,1516.2453061224478
test_25_12,50.0,179.22,52.43744183426999,157.0,162.25,166.0,174.25,208.0,218.79999999999995,387.6799999999995,519.0,2749.6853061224474
test_25_14,50.0,266.76,54.44808798951793,248.0,252.25,254.0,258.5,267.7,321.4999999999999,490.10999999999945,618.0,2964.5942857142836
test_25_16,50.0,457.52,54.465581717601545,435.0,443.25,446.0,449.0,461.4,485.79999999999995,689.9699999999996,811.0,2966.4995918367385
test_25_18,50.0,538.94,72.99466293042617,510.0,520.25,523.0,529.0,543.1,568.0,855.6699999999994,1011.0,5328.220816326526
test_25_2,50.0,7.96,5.364128778377754,4.0,5.0,7.5,9.0,10.100000000000001,14.0,28.239999999999952,40.0,28.773877551020423
test_25_20,50.0,703.94,94.62631337885603,667.0,679.5,689.0,696.0,706.3,737.3499999999999,1070.1299999999987,1346.0,8954.139183673471
test_25_4,50.0,21.8,12.150417814265671,16.0,16.0,17.0,20.75,33.0,34.64999999999999,67.4799999999999,91.0,147.6326530612245
test_25_6,50.0,44.82,19.76875498025577,36.0,37.0,38.0,42.0,57.300000000000004,80.55,123.16999999999987,156.0,390.8036734693878
test_25_8,50.0,75.14,24.297484542685496,64.0,67.0,68.0,71.0,78.70000000000002,113.49999999999991,178.6199999999999,209.0,590.3677551020409
test_30_10,50.0,176.12,42.82553119867842,158.0,164.0,165.5,170.5,183.2,203.39999999999992,365.0899999999997,443.0,1834.0261224489775
test_30_12,50.0,280.4,53.708206342899096,259.0,264.0,266.0,270.75,287.20000000000005,343.89999999999986,503.25999999999954,614.0,2884.5714285714275
test_30_14,50.0,471.2,56.27120915345466,452.0,456.25,460.0,464.75,470.1,485.44999999999993,720.7499999999995,831.0,3166.448979591834
test_30_16,50.0,622.0,63.32875028172353,595.0,605.25,609.0,615.75,633.1,652.05,870.5999999999992,1047.0,4010.530612244894
test_30_18,50.0,823.76,76.15895300257863,797.0,806.0,810.5,814.75,832.2,850.0999999999999,1115.1299999999992,1342.0,5800.186122448975
test_30_2,50.0,11.4,6.493324672779145,7.0,7.0,9.0,13.75,17.200000000000003,19.0,35.19999999999996,45.0,42.16326530612245
test_30_20,50.0,1046.88,83.66859796670603,1020.0,1027.25,1032.5,1038.0,1045.4,1052.3,1379.329999999999,1616.0,7000.434285714273
test_30_4,50.0,29.4,14.543390391570748,22.0,23.0,24.0,26.75,50.2,54.19999999999999,82.5199999999999,108.0,211.51020408163274
test_30_6,50.0,61.86,23.950638012889975,51.0,53.0,54.0,57.75,70.00000000000001,108.49999999999997,158.69999999999987,193.0,573.6330612244897
test_30_8,50.0,112.06,30.912919167050067,99.0,102.0,104.0,108.75,116.5,136.95,253.24999999999986,290.0,955.6085714285714
test_35_10,50.0,261.42,48.258271998969576,238.0,247.0,250.0,254.0,274.8,315.4999999999999,456.74999999999955,567.0,2328.860816326528
test_35_12,50.0,468.48,53.90098253619637,451.0,456.0,457.0,461.0,467.0,496.69999999999993,687.8599999999994,828.0,2905.315918367345
test_35_14,50.0,654.86,62.93793833319179,633.0,639.0,642.5,646.5,656.0,668.25,926.3699999999994,1067.0,3961.18408163265
test_35_16,50.0,885.1,79.65595664212077,855.0,865.25,871.0,874.0,885.2,935.1999999999998,1199.9299999999992,1417.0,6345.071428571428
test_35_18,50.0,1179.06,90.64742417853955,1149.0,1159.25,1163.5,1169.0,1176.0,1191.1,1544.079999999999,1793.0,8216.95551020408
test_35_2,50.0,12.04,7.682367832263965,8.0,8.0,9.0,14.75,16.1,17.549999999999997,43.74999999999995,56.0,59.01877551020408
test_35_20,50.0,1492.84,109.676399708694,1464.0,1470.0,1475.0,1479.0,1486.3,1490.0,1926.4399999999987,2242.0,12028.912653061221
test_35_4,50.0,38.3,16.76031513025056,30.0,31.0,33.0,35.75,47.50000000000002,65.64999999999999,105.4999999999999,130.0,280.90816326530626
test_35_6,50.0,83.58,26.7811157957488,71.0,73.0,75.0,79.0,98.10000000000002,124.94999999999992,198.9499999999999,221.0,717.2281632653061
test_35_8,50.0,152.26,31.547055879968863,139.0,142.0,143.0,149.0,162.70000000000002,176.1,296.65999999999985,329.0,995.216734693877
test_40_10,50.0,420.6,49.27349745066214,400.0,407.25,411.0,413.0,423.3,453.84999999999985,627.2999999999995,740.0,2427.877551020408
test_40_12,50.0,618.24,61.04784339903802,595.0,603.0,606.0,609.75,615.4,641.6999999999999,891.7699999999995,1003.0,3726.8391836734704
