experiment,count,mean,std,min,25%,50%,75%,90%,95%,99%,max,variance,skewness,Bowley_skew
test_10_10,50.0,59.7946,26.52339169449473,45.05,48.894999999999996,51.16,55.9575,80.674,95.791,159.10969999999978,217.65,703.4903069795918,4.655569102914939,0.35858407079645965
test_10_12,50.0,72.70320000000001,29.11724115379346,57.16,61.8925,63.43,68.9775,94.84100000000002,116.57599999999996,185.06519999999978,242.65,847.8137324081614,4.513417569995199,0.565984474241355
test_10_14,50.0,92.4966,34.61262472342856,73.77,78.0375,83.805,89.7975,107.72200000000004,140.17149999999998,226.74569999999972,302.73,1198.0337902448987,4.946105024121503,0.019132653061221583
test_10_16,50.0,106.8968,45.25927274208963,89.78,94.1,96.61,100.32499999999999,110.586,142.66249999999988,298.1746999999996,396.65,2048.4017691428576,5.760658957218806,0.19357429718875263
test_10_18,50.0,133.179,53.356405588710125,113.4,117.0425,121.33,128.4375,141.77,162.95099999999996,354.29309999999947,483.07,2846.9060173469366,6.078626030230193,0.24747696358051977
test_10_2,50.0,29.041799999999995,12.18888665622777,18.85,23.665,26.545,30.1875,38.17700000000001,41.49549999999999,76.7509999999999,98.85,148.56895791836726,4.144855894897559,0.11690302798006832
test_10_20,50.0,160.922,62.17717354627888,137.42,144.42249999999999,147.815,152.51000000000002,166.35000000000002,191.48599999999996,408.23859999999934,577.22,3866.000910204079,6.405802220539335,0.1610510046367856
test_10_4,50.0,36.2528,13.162429997100514,27.37,31.22,33.17,35.69,44.342000000000006,53.193,87.7760999999999,114.78,173.24956342857146,4.700761616683285,0.12751677852348844
test_10_6,50.0,40.553,18.846646456413968,27.97,31.075,37.099999999999994,40.4675,58.672000000000004,60.253499999999995,113.36889999999984,152.76,355.19608265306096,4.616831331490943,-0.2829385147724231
test_10_8,50.0,47.94919999999999,22.5730228044587,35.02,38.125,39.97,48.29,67.883,71.39999999999999,130.07809999999978,184.62,509.54135853061234,4.797228071636496,0.6369896704377762
test_15_10,50.0,88.87559999999999,35.22022321198492,71.05,74.9825,79.93,84.77499999999999,102.247,147.1015,227.87809999999973,298.1,1240.4641231020407,4.754079620976005,-0.010467194281339859
test_15_12,50.0,107.32539999999999,39.42015780883518,89.06,92.47,95.78,103.7575,120.046,172.3369999999999,267.0322999999997,337.46,1553.9488416734669,4.6302623185112655,0.413510520487264
test_15_14,50.0,141.93300000000002,51.50990494208717,121.95,125.8625,129.26999999999998,135.32,156.469,163.51,363.92449999999957,470.23,2653.270307142857,5.702696832294239,0.2794078773460261
test_15_16,50.0,174.26540000000006,63.051383781607136,151.2,157.625,160.95,164.455,181.782,205.88749999999993,431.5073999999994,593.08,3975.4769967755096,6.285962592920795,0.026354319180097122
test_15_18,50.0,219.6156,67.46733910234654,194.94,199.4475,203.82,211.6175,239.091,269.7469999999999,487.0747999999993,663.22,4551.84184555102,6.088200841466562,0.2814297452752676
test_15_2,50.0,33.17179999999999,10.907140086069441,24.09,28.2575,30.299999999999997,34.97,41.269,43.11599999999999,73.8808999999999,98.67,118.96570485714287,4.640261277865156,0.391433891992552
test_15_20,50.0,270.0948,77.0363749820002,240.04,247.01500000000001,250.975,259.7875,283.217,345.0974999999998,583.1310999999993,764.73,5934.603070367348,5.7516065337906825,0.379917792131534
test_15_4,50.0,40.6736,14.7960202536675,28.58,32.0875,39.865,45.2325,47.785000000000004,50.2605,96.52779999999987,129.74,218.92221534693874,4.611331639353161,-0.1833396728794226
test_15_6,50.0,47.666000000000004,24.79917139827088,34.89,37.66,39.675,42.42,68.924,75.4075,145.4664999999998,193.07,614.9989020408161,4.503676187336365,0.1533613445378158
test_15_8,50.0,62.9392,27.272996276125415,49.25,51.3825,54.3,58.847500000000004,91.13300000000001,110.5355,165.6966999999998,215.76,743.8163258775514,4.125000893897796,0.21835231078365827
test_20_10,50.0,119.2964,41.07707423358968,98.83,102.5,107.695,117.5025,136.287,155.5525,300.31049999999976,356.93,1687.3260275918371,4.668083138780825,0.3074487585402441
test_20_12,50.0,157.7626,51.51915747544394,136.38,140.4875,144.07999999999998,151.925,169.585,200.9855,375.09489999999954,483.38,2654.223586979593,5.5485490021820425,0.37180327868852936
test_20_14,50.0,216.99720000000002,65.62416516211455,190.07,194.325,199.305,213.0225,253.47400000000002,279.83349999999996,472.13399999999933,637.95,4306.531053224492,5.677385784607449,0.4673084636983525
test_20_16,50.0,301.94859999999994,65.37493131880733,275.85,281.46500000000003,284.43,293.945,315.408,365.5334999999999,562.2869999999994,721.88,4273.881644938775,5.7257573458028705,0.5248397435897507
test_20_18,50.0,359.5784,75.3100072858034,334.61,340.53499999999997,343.12,347.55,363.339,412.4659999999998,668.9064999999993,852.24,5671.597197387751,6.057781858402445,0.26300784034212626
test_20_2,50.0,31.240800000000004,13.110833476517792,21.23,25.2,28.275,31.4225,42.765,45.95449999999999,82.01959999999988,108.46,171.89395444897963,4.478601147672218,0.011651265568502229
test_20_20,50.0,514.5734,91.10211934652547,483.8,490.3725,496.6,501.8775,519.669,553.8805,894.1830999999991,1117.53,8299.596149428573,6.244128997681039,-0.08257279443720521
test_20_4,50.0,43.373599999999996,19.215995225066962,30.75,34.0575,36.334999999999994,48.765,54.480000000000004,61.00949999999999,114.42579999999981,160.77,369.25447248979634,4.872219614675903,0.6902940676525583
test_20_6,50.0,60.76959999999999,26.233558112945836,47.49,49.8625,52.34,55.572500000000005,90.46600000000001,101.81649999999999,162.4975999999998,206.48,688.1995712653058,4.051391245821267,0.13222416812609358
test_20_8,50.0,91.892,33.04916998556384,73.67,78.845,82.18,90.3725,106.042,146.34099999999995,222.39849999999976,284.31,1092.2476367346944,4.529342232952785,0.42138364779874093
test_25_10,50.0,169.7278,50.84769191037333,148.0,152.9375,156.89499999999998,163.2,198.913,211.547,378.66439999999955,491.58,2585.4877726122454,5.521937334334205,0.22874543239951547
test_25_12,50.0,233.22,63.76312657174272,204.14,209.51749999999998,217.27,226.2975,261.866,285.5455,488.5008999999994,642.65,4065.7363102040813,5.698300419820191,0.07598331346841329
test_25_14,50.0,328.27279999999996,66.73256400081183,304.07,308.4925,312.385,317.36749999999995,334.524,398.7524999999998,603.1339999999993,752.78,4453.235098122444,5.642698333411084,0.12281690140844227
test_25_16,50.0,530.1880000000001,67.06120971902902,500.66,511.9625,515.845,520.305,538.992,567.435,818.9699999999995,960.09,4497.205848979596,5.794065026235715,0.06922385376084801
test_25_18,50.0,625.3116,87.21220141091942,589.21,602.5999999999999,606.56,614.915,633.408,664.5864999999999,1002.9462999999993,1187.74,7605.96807493877,5.8966291666555435,0.35688185140072776
test_25_2,50.0,32.815,13.789117751594803,22.92,25.2275,31.185,34.905,40.61200000000001,52.067499999999995,84.39279999999988,112.95,190.1397683673469,4.302198177188786,-0.23120640661327788
test_25_20,50.0,806.9051999999999,109.4904752588469,765.33,777.3375,790.53,796.4075,808.499,848.6504999999999,1237.2564999999986,1546.52,11988.164172408164,6.564190034580844,-0.38358678552700765
test_25_4,50.0,51.123000000000005,22.77969694392669,37.82,40.307500000000005,43.595,47.8675,75.67,78.878,137.15779999999984,176.74,518.9145928571428,3.8352029491246085,0.13029100529100718
test_25_6,50.0,77.64880000000001,31.2420760657476,62.57,65.48,68.42500000000001,72.545,90.58300000000003,131.1685,202.67369999999977,255.04,976.0673168979598,4.3307253529136664,0.16631280962490919
test_25_8,50.0,113.4568,34.67332795079921,95.82,101.2525,103.78999999999999,108.7775,127.98100000000001,165.6589999999999,261.7093999999998,306.76,1202.2396711836727,4.369959544075794,0.32558139534883923
test_30_10,50.0,223.64860000000002,54.87389978479601,201.38,207.33499999999998,209.98,215.3075,237.507,261.174,465.4954999999996,564.01,3011.144877591838,5.417413011493292,0.33646911257447426
test_30_12,50.0,336.6071999999999,65.85994444118455,308.83,314.75250000000005,318.205,325.11,352.35900000000004,420.92899999999975,607.6798999999994,738.26,4337.5322817959195,5.115273106330819,0.3333333333333443
