experiment,component,rules,clauses_per_rule,total_clauses,count,mean,std,min,25%,50%,75%,90%,95%,99%,max,variance
test_10_10,test_runner,10,10,100,50.0,88.24,54.12893149222325,64.0,70.0,73.0,79.0,114.4,121.55,334.2999999999997,398.0,2929.941224489796
test_10_10,enforcer,10,10,100,50.0,59.7946,26.52339169449473,45.05,48.894999999999996,51.16,55.9575,80.674,95.791,159.10969999999978,217.65,703.4903069795918
test_10_10,asmeta,10,10,100,50.0,22.44,14.08307712201029,16.0,17.0,18.0,21.0,33.0,38.0,74.69999999999986,109.0,198.33306122448954
test_10_12,test_runner,10,12,120,50.0,100.74,54.20513192060887,76.0,83.0,85.5,91.5,133.4,148.0,347.9399999999998,394.0,2938.1963265306126
test_10_12,enforcer,10,12,120,50.0,72.70320000000001,29.11724115379346,57.16,61.8925,63.43,68.9775,94.84100000000002,116.57599999999996,185.06519999999978,242.65,847.8137324081614
test_10_12,asmeta,10,12,120,50.0,29.8,18.00113375114275,23.0,23.0,24.0,26.0,43.400000000000006,54.0,102.20999999999987,137.0,324.04081632653055
test_10_14,test_runner,10,14,140,50.0,119.04,46.37467641121498,95.0,101.25,107.5,113.0,150.60000000000002,172.39999999999998,304.9999999999996,403.0,2150.6106122448978
test_10_14,enforcer,10,14,140,50.0,92.4966,34.61262472342856,73.77,78.0375,83.805,89.7975,107.72200000000004,140.17149999999998,226.74569999999972,302.73,1198.0337902448987
test_10_14,asmeta,10,14,140,50.0,41.06,23.316290179938623,31.0,32.25,35.0,39.0,52.000000000000014,65.94999999999997,131.66999999999976,189.0,543.6493877551022
test_10_16,test_runner,10,16,160,50.0,134.88,70.59647907043846,110.0,116.0,119.0,123.75,132.3,163.7499999999999,472.9299999999999,494.0,4983.86285714286
test_10_16,enforcer,10,16,160,50.0,106.8968,45.25927274208963,89.78,94.1,96.61,100.32499999999999,110.586,142.66249999999988,298.1746999999996,396.65,2048.4017691428576
test_10_16,asmeta,10,16,160,50.0,49.3,32.78579209452329,40.0,41.0,42.0,44.0,47.1,67.59999999999991,188.0299999999997,263.0,1074.9081632653051
test_10_18,test_runner,10,18,180,50.0,156.48,57.27528939700089,133.0,141.0,144.0,151.75,165.3,189.8499999999999,391.8799999999994,533.0,3280.458775510203
test_10_18,enforcer,10,18,180,50.0,133.179,53.356405588710125,113.4,117.0425,121.33,128.4375,141.77,162.95099999999996,354.29309999999947,483.07,2846.9060173469366
test_10_18,asmeta,10,18,180,50.0,62.42,40.669945780587405,50.0,52.0,54.0,56.0,65.9,84.29999999999998,227.64999999999958,333.0,1654.044489795918
test_10_2,test_runner,10,2,20,50.0,52.06,16.476835935609103,39.0,45.25,49.0,54.0,60.2,65.55,118.63999999999987,150.0,271.48612244897953
test_10_2,enforcer,10,2,20,50.0,29.041799999999995,12.18888665622777,18.85,23.665,26.545,30.1875,38.17700000000001,41.49549999999999,76.7509999999999,98.85,148.56895791836726
test_10_2,asmeta,10,2,20,50.0,3.06,3.986763814710588,1.0,2.0,2.0,3.0,5.200000000000003,7.0,19.64999999999997,27.0,15.89428571428572
test_10_20,test_runner,10,20,200,50.0,183.94,66.86245705375555,159.0,166.25,169.5,176.0,189.60000000000002,214.95,449.71999999999923,632.0,4470.588163265304
test_10_20,enforcer,10,20,200,50.0,160.922,62.17717354627888,137.42,144.42249999999999,147.815,152.51000000000002,166.35000000000002,191.48599999999996,408.23859999999934,577.22,3866.000910204079
test_10_20,asmeta,10,20,200,50.0,76.12,49.97086498089437,63.0,64.0,67.0,69.0,74.40000000000002,98.39999999999998,267.0399999999994,416.0,2497.087346938776
test_10_4,test_runner,10,4,40,50.0,65.3,43.0643799017997,47.0,53.0,56.0,59.75,77.0,81.39999999999998,254.22999999999965,339.0,1854.5408163265308
test_10_4,enforcer,10,4,40,50.0,36.2528,13.162429997100514,27.37,31.22,33.17,35.69,44.342000000000006,53.193,87.7760999999999,114.78,173.24956342857146
test_10_4,asmeta,10,4,40,50.0,6.96,4.882120649965172,4.0,4.0,7.0,7.0,8.100000000000001,10.099999999999994,25.74999999999995,38.0,23.835102040816324
test_10_6,test_runner,10,6,60,50.0,62.1,22.86361515507081,48.0,52.0,57.5,62.0,80.1,86.19999999999999,149.5699999999998,202.0,522.7448979591838
test_10_6,enforcer,10,6,60,50.0,40.553,18.846646456413968,27.97,31.075,37.099999999999994,40.4675,58.672000000000004,60.253499999999995,113.36889999999984,152.76,355.19608265306096
test_10_6,asmeta,10,6,60,50.0,10.9,8.779033464535184,6.0,7.0,8.0,12.0,14.200000000000003,18.0,44.43999999999991,66.0,77.07142857142856
test_10_8,test_runner,10,8,80,50.0,69.52,26.83984245216694,55.0,59.0,61.0,69.5,89.2,93.64999999999999,169.86999999999972,237.0,720.3771428571426
test_10_8,enforcer,10,8,80,50.0,47.94919999999999,22.5730228044587,35.02,38.125,39.97,48.29,67.883,71.39999999999999,130.07809999999978,184.62,509.54135853061234
test_10_8,asmeta,10,8,80,50.0,15.58,11.897675986408052,10.0,11.0,11.0,17.75,22.1,25.099999999999994,59.14999999999987,91.0,141.55469387755096
test_15_10,test_runner,15,10,150,50.0,113.42,42.361462078022704,92.0,99.0,103.5,107.75,125.1,171.79999999999995,280.9599999999996,377.0,1794.4934693877553
test_15_10,enforcer,15,10,150,50.0,88.87559999999999,35.22022321198492,71.05,74.9825,79.93,84.77499999999999,102.247,147.1015,227.87809999999973,298.1,1240.4641231020407
test_15_10,asmeta,15,10,150,50.0,47.78,24.312833597732297,37.0,39.0,41.0,45.0,56.2,84.64999999999999,145.0199999999998,195.0,591.1138775510202
test_15_12,test_runner,15,12,180,50.0,130.44,43.38539206804472,109.0,113.25,118.0,128.5,142.70000000000002,197.74999999999994,305.69999999999965,389.0,1882.2922448979584
test_15_12,enforcer,15,12,180,50.0,107.32539999999999,39.42015780883518,89.06,92.47,95.78,103.7575,120.046,172.3369999999999,267.0322999999997,337.46,1553.9488416734669
test_15_12,asmeta,15,12,180,50.0,62.18,27.876323067347013,51.0,52.0,54.0,59.25,68.50000000000003,105.49999999999991,176.0199999999998,226.0,777.0893877551018
test_15_14,test_runner,15,14,210,50.0,171.14,73.39743920350801,143.0,149.25,153.0,159.0,180.3,187.55,523.02,524.0,5387.184081632652
test_15_14,enforcer,15,14,210,50.0,141.93300000000002,51.50990494208717,121.95,125.8625,129.26999999999998,135.32,156.469,163.51,363.92449999999957,470.23,2653.270307142857
test_15_14,asmeta,15,14,210,50.0,87.0,38.86607040300613,73.0,75.25,77.5,82.0,94.30000000000001,103.49999999999997,256.1099999999997,335.0,1510.571428571428
test_15_16,test_runner,15,16,240,50.0,197.68,67.30601452943664,175.0,180.0,183.0,188.0,209.1,230.8499999999999,471.5399999999993,645.0,4530.099591836734
test_15_16,enforcer,15,16,240,50.0,174.26540000000006,63.051383781607136,151.2,157.625,160.95,164.455,181.782,205.88749999999993,431.5073999999994,593.08,3975.4769967755096
