,experiment,component,rules,clauses_per_rule,total_clauses,test_case_number,delay_ms
0,test_10_2,test_runner,10,2,20,1,150.0
1,test_10_2,test_runner,10,2,20,2,62.0
2,test_10_2,test_runner,10,2,20,3,66.0
3,test_10_2,test_runner,10,2,20,4,65.0
4,test_10_2,test_runner,10,2,20,5,57.0
5,test_10_2,test_runner,10,2,20,6,60.0
6,test_10_2,test_runner,10,2,20,7,86.0
7,test_10_2,test_runner,10,2,20,8,58.0
8,test_10_2,test_runner,10,2,20,9,56.0
9,test_10_2,test_runner,10,2,20,10,53.0
10,test_10_2,test_runner,10,2,20,11,53.0
11,test_10_2,test_runner,10,2,20,12,50.0
12,test_10_2,test_runner,10,2,20,13,49.0
13,test_10_2,test_runner,10,2,20,14,50.0
14,test_10_2,test_runner,10,2,20,15,51.0
15,test_10_2,test_runner,10,2,20,16,54.0
16,test_10_2,test_runner,10,2,20,17,49.0
17,test_10_2,test_runner,10,2,20,18,51.0
18,test_10_2,test_runner,10,2,20,19,60.0
19,test_10_2,test_runner,10,2,20,20,48.0
20,test_10_2,test_runner,10,2,20,21,49.0
21,test_10_2,test_runner,10,2,20,22,49.0
22,test_10_2,test_runner,10,2,20,23,56.0
23,test_10_2,test_runner,10,2,20,24,46.0
24,test_10_2,test_runner,10,2,20,25,55.0
25,test_10_2,test_runner,10,2,20,26,47.0
26,test_10_2,test_runner,10,2,20,27,48.0
27,test_10_2,test_runner,10,2,20,28,46.0
28,test_10_2,test_runner,10,2,20,29,47.0
29,test_10_2,test_runner,10,2,20,30,49.0
30,test_10_2,test_runner,10,2,20,31,52.0
31,test_10_2,test_runner,10,2,20,32,46.0
32,test_10_2,test_runner,10,2,20,33,54.0
33,test_10_2,test_runner,10,2,20,34,51.0
34,test_10_2,test_runner,10,2,20,35,44.0
35,test_10_2,test_runner,10,2,20,36,43.0
36,test_10_2,test_runner,10,2,20,37,46.0
37,test_10_2,test_runner,10,2,20,38,48.0
38,test_10_2,test_runner,10,2,20,39,41.0
39,test_10_2,test_runner,10,2,20,40,45.0
40,test_10_2,test_runner,10,2,20,41,39.0
41,test_10_2,test_runner,10,2,20,42,43.0
42,test_10_2,test_runner,10,2,20,43,48.0
43,test_10_2,test_runner,10,2,20,44,41.0
44,test_10_2,test_runner,10,2,20,45,43.0
45,test_10_2,test_runner,10,2,20,46,39.0
46,test_10_2,test_runner,10,2,20,47,39.0
47,test_10_2,test_runner,10,2,20,48,39.0
48,test_10_2,test_runner,10,2,20,49,39.0
49,test_10_2,test_runner,10,2,20,50,43.0
50,test_15_2,test_runner,15,2,30,1,145.0
51,test_15_2,test_runner,15,2,30,2,64.0
52,test_15_2,test_runner,15,2,30,3,64.0
53,test_15_2,test_runner,15,2,30,4,60.0
54,test_15_2,test_runner,15,2,30,5,66.0
55,test_15_2,test_runner,15,2,30,6,72.0
56,test_15_2,test_runner,15,2,30,7,56.0
57,test_15_2,test_runner,15,2,30,8,60.0
58,test_15_2,test_runner,15,2,30,9,57.0
59,test_15_2,test_runner,15,2,30,10,57.0
60,test_15_2,test_runner,15,2,30,11,57.0
61,test_15_2,test_runner,15,2,30,12,48.0
62,test_15_2,test_runner,15,2,30,13,61.0
63,test_15_2,test_runner,15,2,30,14,51.0
64,test_15_2,test_runner,15,2,30,15,61.0
65,test_15_2,test_runner,15,2,30,16,66.0
66,test_15_2,test_runner,15,2,30,17,60.0
67,test_15_2,test_runner,15,2,30,18,62.0
68,test_15_2,test_runner,15,2,30,19,54.0
69,test_15_2,test_runner,15,2,30,20,54.0
70,test_15_2,test_runner,15,2,30,21,51.0
71,test_15_2,test_runner,15,2,30,22,58.0
72,test_15_2,test_runner,15,2,30,23,54.0
73,test_15_2,test_runner,15,2,30,24,51.0
74,test_15_2,test_runner,15,2,30,25,54.0
75,test_15_2,test_runner,15,2,30,26,56.0
76,test_15_2,test_runner,15,2,30,27,58.0
77,test_15_2,test_runner,15,2,30,28,53.0
78,test_15_2,test_runner,15,2,30,29,54.0
79,test_15_2,test_runner,15,2,30,30,58.0
80,test_15_2,test_runner,15,2,30,31,52.0
81,test_15_2,test_runner,15,2,30,32,53.0
82,test_15_2,test_runner,15,2,30,33,52.0
83,test_15_2,test_runner,15,2,30,34,54.0
84,test_15_2,test_runner,15,2,30,35,56.0
85,test_15_2,test_runner,15,2,30,36,53.0
86,test_15_2,test_runner,15,2,30,37,52.0
87,test_15_2,test_runner,15,2,30,38,51.0
88,test_15_2,test_runner,15,2,30,39,50.0
89,test_15_2,test_runner,15,2,30,40,50.0
90,test_15_2,test_runner,15,2,30,41,51.0
91,test_15_2,test_runner,15,2,30,42,57.0
92,test_15_2,test_runner,15,2,30,43,52.0
93,test_15_2,test_runner,15,2,30,44,49.0
94,test_15_2,test_runner,15,2,30,45,51.0
95,test_15_2,test_runner,15,2,30,46,50.0
96,test_15_2,test_runner,15,2,30,47,47.0
97,test_15_2,test_runner,15,2,30,48,46.0
98,test_15_2,test_runner,15,2,30,49,46.0
99,test_15_2,test_runner,15,2,30,50,48.0
100,test_10_4,test_runner,10,4,40,1,166.0
101,test_20_2,test_runner,20,2,40,1,158.0
102,test_10_4,test_runner,10,4,40,2,77.0
